account,uid_city,result,city,currency,chart_of_account,country_iso,date,identifier
300,951,44845,Boécourt,CHF,MCH2,CH,31.12.2022,to_be_defined
300,258,21132.75,Bourrignon,CHF,MCH2,CH,31.12.2022,to_be_defined
300,471,26642.7,Châtillon,CHF,MCH2,CH,31.12.2022,to_be_defined
300,441,44106.25,Courchapoix,CHF,MCH2,CH,31.12.2022,to_be_defined
300,3686,176465,Courrendlin,CHF,MCH2,CH,31.12.2022,to_be_defined
300,3313,143841.3,Courroux,CHF,MCH2,CH,31.12.2022,to_be_defined
300,2654,125738,Courtételle,CHF,MCH2,CH,31.12.2022,to_be_defined
300,12636,806929.25,Delémont,CHF,MCH2,CH,31.12.2022,to_be_defined
300,1360,70262.5,Develier,CHF,MCH2,CH,31.12.2022,to_be_defined
300,112,17893.15,Ederswiler,CHF,MCH2,CH,31.12.2022,to_be_defined
300,7319,340805.95,Haute-Sorne,CHF,MCH2,CH,31.12.2022,to_be_defined
300,522,45128.1,Mervelier,CHF,MCH2,CH,31.12.2022,to_be_defined
300,106,15849.5,Mettembert,CHF,MCH2,CH,31.12.2022,to_be_defined
300,425,18700,Movelier,CHF,MCH2,CH,31.12.2022,to_be_defined
300,350,27910,Pleigne,CHF,MCH2,CH,31.12.2022,to_be_defined
300,733,58838.5,Rossemaison,CHF,MCH2,CH,31.12.2022,to_be_defined
300,270,12409.65,Saulcy,CHF,MCH2,CH,31.12.2022,to_be_defined
300,417,56077.35,Soyhières,CHF,MCH2,CH,31.12.2022,to_be_defined
300,3285,102827,Val Terbi,CHF,MCH2,CH,31.12.2022,to_be_defined
300,308,49656.85,Le Bémont,CHF,MCH2,CH,31.12.2022,to_be_defined
300,1258,54372.85,Les Bois,CHF,MCH2,CH,31.12.2022,to_be_defined
300,1524,84720,Les Breuleux,CHF,MCH2,CH,31.12.2022,to_be_defined
300,87,6985,La Chaux-B.,CHF,MCH2,CH,31.12.2022,to_be_defined
300,156,11829,Les Enfers,CHF,MCH2,CH,31.12.2022,to_be_defined
300,510,21150.95,Les Genevez,CHF,MCH2,CH,31.12.2022,to_be_defined
300,705,25124.8,Lajoux,CHF,MCH2,CH,31.12.2022,to_be_defined
300,551,46623.75,Montfaucon,CHF,MCH2,CH,31.12.2022,to_be_defined
300,511,25752.75,Muriaux,CHF,MCH2,CH,31.12.2022,to_be_defined
300,1902,93148,Le Noirmont,CHF,MCH2,CH,31.12.2022,to_be_defined
300,2575,59454.6,Saignelégier,CHF,MCH2,CH,31.12.2022,to_be_defined
300,228,19774.4,Saint-Brais,CHF,MCH2,CH,31.12.2022,to_be_defined
300,118,12915,Soubey,CHF,MCH2,CH,31.12.2022,to_be_defined
300,1882,85620.8,Alle,CHF,MCH2,CH,31.12.2022,to_be_defined
300,1114,48441.6,La Baroche,CHF,MCH2,CH,31.12.2022,to_be_defined
300,1217,51637.9,Basse-Allaine,CHF,MCH2,CH,31.12.2022,to_be_defined
300,117,20267.65,Beurnevésin,CHF,MCH2,CH,31.12.2022,to_be_defined
300,1205,92365,Boncourt,CHF,MCH2,CH,31.12.2022,to_be_defined
300,625,32375.6,Bonfol,CHF,MCH2,CH,31.12.2022,to_be_defined
300,631,44417.5,Bure,CHF,MCH2,CH,31.12.2022,to_be_defined
300,1275,83728.75,Clos du Doubs,CHF,MCH2,CH,31.12.2022,to_be_defined
300,718,49195.5,Coeuve,CHF,MCH2,CH,31.12.2022,to_be_defined
300,1018,41404.5,Cornol,CHF,MCH2,CH,31.12.2022,to_be_defined
300,293,13040,Courchavon,CHF,MCH2,CH,31.12.2022,to_be_defined
300,2435,59512.5,Courgenay,CHF,MCH2,CH,31.12.2022,to_be_defined
300,786,53031.5,Courtedoux,CHF,MCH2,CH,31.12.2022,to_be_defined
300,184,11468.8,Damphreux,CHF,MCH2,CH,31.12.2022,to_be_defined
300,333,15690,Fahy,CHF,MCH2,CH,31.12.2022,to_be_defined
300,1674,55634,Fontenais,CHF,MCH2,CH,31.12.2022,to_be_defined
300,391,18938.75,Grandfontaine,CHF,MCH2,CH,31.12.2022,to_be_defined
300,1052,55198.4,Haute-Ajoie,CHF,MCH2,CH,31.12.2022,to_be_defined
300,186,16066.15,Lugnez,CHF,MCH2,CH,31.12.2022,to_be_defined
300,6441,247922.05,Porrentruy,CHF,MCH2,CH,31.12.2022,to_be_defined
300,546,26953.4,Vendlincourt,CHF,MCH2,CH,31.12.2022,to_be_defined
300,73865,3790820.2499999995,Total,CHF,MCH2,CH,31.12.2022,to_be_defined
300,39309,2156401.95,Delémont,CHF,MCH2,CH,31.12.2022,to_be_defined
300,10433,511507.95,Franches-Montagnes,CHF,MCH2,CH,31.12.2022,to_be_defined
300,24123,1122910.3499999999,Porrentruy,CHF,MCH2,CH,31.12.2022,to_be_defined
301,951,356986.4,Boécourt,CHF,MCH2,CH,31.12.2022,to_be_defined
301,258,30302.5,Bourrignon,CHF,MCH2,CH,31.12.2022,to_be_defined
301,471,86406.3,Châtillon,CHF,MCH2,CH,31.12.2022,to_be_defined
301,441,217464.7,Courchapoix,CHF,MCH2,CH,31.12.2022,to_be_defined
301,3686,2064785.9,Courrendlin,CHF,MCH2,CH,31.12.2022,to_be_defined
301,3313,2272423.5,Courroux,CHF,MCH2,CH,31.12.2022,to_be_defined
301,2654,813652.5,Courtételle,CHF,MCH2,CH,31.12.2022,to_be_defined
301,12636,19725387.95,Delémont,CHF,MCH2,CH,31.12.2022,to_be_defined
301,1360,971663.25,Develier,CHF,MCH2,CH,31.12.2022,to_be_defined
301,112,34797.96,Ederswiler,CHF,MCH2,CH,31.12.2022,to_be_defined
301,7319,2840284.2,Haute-Sorne,CHF,MCH2,CH,31.12.2022,to_be_defined
301,522,114665.05,Mervelier,CHF,MCH2,CH,31.12.2022,to_be_defined
301,106,46154.5,Mettembert,CHF,MCH2,CH,31.12.2022,to_be_defined
301,425,182398.6,Movelier,CHF,MCH2,CH,31.12.2022,to_be_defined
301,350,116446.9,Pleigne,CHF,MCH2,CH,31.12.2022,to_be_defined
301,733,186959.9,Rossemaison,CHF,MCH2,CH,31.12.2022,to_be_defined
301,270,84006.45,Saulcy,CHF,MCH2,CH,31.12.2022,to_be_defined
301,417,214442.25,Soyhières,CHF,MCH2,CH,31.12.2022,to_be_defined
301,3285,1861688.7,Val Terbi,CHF,MCH2,CH,31.12.2022,to_be_defined
301,308,64217.3,Le Bémont,CHF,MCH2,CH,31.12.2022,to_be_defined
301,1258,1280372.4,Les Bois,CHF,MCH2,CH,31.12.2022,to_be_defined
301,1524,1442294.1,Les Breuleux,CHF,MCH2,CH,31.12.2022,to_be_defined
301,87,65818.1,La Chaux-B.,CHF,MCH2,CH,31.12.2022,to_be_defined
301,156,50586.75,Les Enfers,CHF,MCH2,CH,31.12.2022,to_be_defined
301,510,308249.5,Les Genevez,CHF,MCH2,CH,31.12.2022,to_be_defined
301,705,428392.52,Lajoux,CHF,MCH2,CH,31.12.2022,to_be_defined
301,551,322147.91,Montfaucon,CHF,MCH2,CH,31.12.2022,to_be_defined
