GDEKT,GDENR,GDENAME,KTNR,UID,ORTSCHAFTSNAME,PLZ
ZH,0001,Aeugst am Albis,01,010001,Aeugst am Albis,8914
ZH,0001,Aeugst am Albis,01,010001,Aeugstertal,8914
ZH,0002,Affoltern am Albis,01,010002,Zwillikon,8909
ZH,0002,Affoltern am Albis,01,010002,Affoltern am Albis,8910
ZH,0003,Bonstetten,01,010003,Bonstetten,8906
ZH,0004,Hausen am Albis,01,010004,Sihlbrugg,6340
ZH,0004,Hausen am Albis,01,010004,Langnau am Albis,8135
ZH,0004,Hausen am Albis,01,010004,Hausen am Albis,8915
ZH,0004,Hausen am Albis,01,010004,Ebertswil,8925
ZH,0005,Hedingen,01,010005,Hedingen,8908
ZH,0006,Kappel am Albis,01,010006,Kappel am Albis,8926
ZH,0006,Kappel am Albis,01,010006,Hauptikon,8926
ZH,0006,Kappel am Albis,01,010006,Uerzlikon,8926
ZH,0007,Knonau,01,010007,Knonau,8934
ZH,0008,Maschwanden,01,010008,Maschwanden,8933
ZH,0009,Mettmenstetten,01,010009,Mettmenstetten,8932
ZH,0010,Obfelden,01,010010,Affoltern am Albis,8910
ZH,0010,Obfelden,01,010010,Obfelden,8912
ZH,0011,Ottenbach,01,010011,Ottenbach,8913
ZH,0012,Rifferswil,01,010012,Rifferswil,8911
ZH,0013,Stallikon,01,010013,Adliswil,8134
ZH,0013,Stallikon,01,010013,Stallikon,8143
ZH,0013,Stallikon,01,010013,Uetliberg,8143
ZH,0014,Wettswil am Albis,01,010014,Wettswil,8907
ZH,0022,Benken (ZH),01,010022,Benken ZH,8463
ZH,0023,Berg am Irchel,01,010023,Berg am Irchel,8415
ZH,0023,Berg am Irchel,01,010023,Gräslikon,8415
ZH,0024,Buch am Irchel,01,010024,Buch am Irchel,8414
ZH,0025,Dachsen,01,010025,Dachsen,8447
ZH,0026,Dorf,01,010026,Dorf,8458
ZH,0027,Feuerthalen,01,010027,Feuerthalen,8245
ZH,0027,Feuerthalen,01,010027,Langwiesen,8246
ZH,0028,Flaach,01,010028,Flaach,8416
ZH,0029,Flurlingen,01,010029,Flurlingen,8247
ZH,0031,Henggart,01,010031,Henggart,8444
ZH,0033,Kleinandelfingen,01,010033,Kleinandelfingen,8451
ZH,0033,Kleinandelfingen,01,010033,Alten,8453
ZH,0033,Kleinandelfingen,01,010033,Oerlingen,8461
ZH,0034,Laufen-Uhwiesen,01,010034,Nohl,8212
ZH,0034,Laufen-Uhwiesen,01,010034,Uhwiesen,8248
ZH,0034,Laufen-Uhwiesen,01,010034,Dachsen,8447
ZH,0035,Marthalen,01,010035,Marthalen,8460
ZH,0035,Marthalen,01,010035,Ellikon am Rhein,8464
ZH,0037,Ossingen,01,010037,Trüllikon,8466
ZH,0037,Ossingen,01,010037,Ossingen,8475
ZH,0038,Rheinau,01,010038,Rheinau,8462
ZH,0038,Rheinau,01,010038,Ellikon am Rhein,8464
ZH,0039,Thalheim an der Thur,01,010039,Thalheim an der Thur,8478
ZH,0040,Trüllikon,01,010040,Rudolfingen,8465
ZH,0040,Trüllikon,01,010040,Wildensbuch,8465
ZH,0040,Trüllikon,01,010040,Trüllikon,8466
ZH,0041,Truttikon,01,010041,Truttikon,8467
ZH,0043,Volken,01,010043,Volken,8459
