account,city_name,result,identifier,population,currency,chart_of_account,country_iso,date
300,Boécourt,44845,266702,951,CHF,MCH2,CH,31.12.2022
300,Bourrignon,21132.75,266703,258,CHF,MCH2,CH,31.12.2022
300,Courchapoix,44106.25,266706,441,CHF,MCH2,CH,31.12.2022
300,Courrendlin,176465,266708,3686,CHF,MCH2,CH,31.12.2022
300,Courroux,143841.3,266709,3313,CHF,MCH2,CH,31.12.2022
300,Courtételle,125738,266710,2654,CHF,MCH2,CH,31.12.2022
300,Delémont,806929.25,266711,39309,CHF,MCH2,CH,31.12.2022
300,Develier,70262.5,266712,1360,CHF,MCH2,CH,31.12.2022
300,Ederswiler,17893.15,266713,112,CHF,MCH2,CH,31.12.2022
300,Haute-Sorne,340805.95,266729,7319,CHF,MCH2,CH,31.12.2022
300,Mervelier,45128.1,266715,522,CHF,MCH2,CH,31.12.2022
300,Mettembert,15849.5,266716,106,CHF,MCH2,CH,31.12.2022
300,Movelier,18700,266718,425,CHF,MCH2,CH,31.12.2022
300,Pleigne,27910,266719,350,CHF,MCH2,CH,31.12.2022
300,Rossemaison,58838.5,266721,733,CHF,MCH2,CH,31.12.2022
300,Saulcy,12409.65,266722,270,CHF,MCH2,CH,31.12.2022
300,Soyhières,56077.35,266724,417,CHF,MCH2,CH,31.12.2022
300,Val Terbi,102827,266730,3285,CHF,MCH2,CH,31.12.2022
300,Les Bois,54372.85,266742,1258,CHF,MCH2,CH,31.12.2022
300,Les Breuleux,84720,266743,1524,CHF,MCH2,CH,31.12.2022
300,Les Enfers,11829,266745,156,CHF,MCH2,CH,31.12.2022
300,Montfaucon,46623.75,266751,551,CHF,MCH2,CH,31.12.2022
300,Muriaux,25752.75,266753,511,CHF,MCH2,CH,31.12.2022
300,Le Noirmont,93148,266754,1902,CHF,MCH2,CH,31.12.2022
300,Saignelégier,59454.6,266757,2575,CHF,MCH2,CH,31.12.2022
300,Saint-Brais,19774.4,266758,228,CHF,MCH2,CH,31.12.2022
300,Soubey,12915,266759,118,CHF,MCH2,CH,31.12.2022
300,Alle,85620.8,266771,1882,CHF,MCH2,CH,31.12.2022
300,La Baroche,48441.6,266810,1114,CHF,MCH2,CH,31.12.2022
300,Basse-Allaine,51637.9,266807,1217,CHF,MCH2,CH,31.12.2022
300,Boncourt,92365,266774,1205,CHF,MCH2,CH,31.12.2022
300,Bure,44417.5,266778,631,CHF,MCH2,CH,31.12.2022
300,Clos du Doubs,83728.75,266808,1275,CHF,MCH2,CH,31.12.2022
300,Coeuve,49195.5,266781,718,CHF,MCH2,CH,31.12.2022
300,Cornol,41404.5,266782,1018,CHF,MCH2,CH,31.12.2022
300,Courchavon,13040,266783,293,CHF,MCH2,CH,31.12.2022
300,Courgenay,59512.5,266784,2435,CHF,MCH2,CH,31.12.2022
