GDEKT,GDENR,GDENAME,KTNR,UID,population,year
ZH,0001,Aeugst am Albis,01,010001,1981,2019
ZH,0002,Affoltern am Albis,01,010002,12303,2019
ZH,0003,Bonstetten,01,010003,5572,2019
ZH,0004,Hausen am Albis,01,010004,3751,2019
ZH,0005,Hedingen,01,010005,3778,2019
ZH,0006,Kappel am Albis,01,010006,1221,2019
ZH,0007,Knonau,01,010007,2378,2019
ZH,0008,Maschwanden,01,010008,645,2019
ZH,0009,Mettmenstetten,01,010009,5200,2019
ZH,0010,Obfelden,01,010010,5721,2019
ZH,0011,Ottenbach,01,010011,2588,2019
ZH,0012,Rifferswil,01,010012,1129,2019
ZH,0013,Stallikon,01,010013,3755,2019
ZH,0014,Wettswil am Albis,01,010014,5240,2019
ZH,0021,Adlikon,01,010021,698,2019
ZH,0022,Benken (ZH),01,010022,845,2019
ZH,0023,Berg am Irchel,01,010023,577,2019
ZH,0024,Buch am Irchel,01,010024,979,2019
ZH,0025,Dachsen,01,010025,1916,2019
ZH,0026,Dorf,01,010026,658,2019
ZH,0027,Feuerthalen,01,010027,3614,2019
ZH,0028,Flaach,01,010028,1420,2019
ZH,0029,Flurlingen,01,010029,1477,2019
ZH,0030,Andelfingen,01,010030,2247,2019
ZH,0031,Henggart,01,010031,2234,2019
ZH,0032,Humlikon,01,010032,485,2019
ZH,0033,Kleinandelfingen,01,010033,2074,2019
ZH,0034,Laufen-Uhwiesen,01,010034,1761,2019
ZH,0035,Marthalen,01,010035,1918,2019
ZH,0037,Ossingen,01,010037,1668,2019
ZH,0038,Rheinau,01,010038,1316,2019
ZH,0039,Thalheim an der Thur,01,010039,938,2019
ZH,0040,Trüllikon,01,010040,1061,2019
ZH,0041,Truttikon,01,010041,463,2019
ZH,0043,Volken,01,010043,380,2019
ZH,0051,Bachenbülach,01,010051,4180,2019
ZH,0052,Bassersdorf,01,010052,11824,2019
ZH,0053,Bülach,01,010053,21372,2019
ZH,0054,Dietlikon,01,010054,7847,2019
ZH,0055,Eglisau,01,010055,5339,2019
ZH,0056,Embrach,01,010056,9421,2019
ZH,0057,Freienstein-Teufen,01,010057,2389,2019
ZH,0058,Glattfelden,01,010058,5217,2019
ZH,0059,Hochfelden,01,010059,1982,2019
ZH,0060,Höri,01,010060,2872,2019
ZH,0061,Hüntwangen,01,010061,1057,2019
ZH,0062,Kloten,01,010062,20130,2019
ZH,0063,Lufingen,01,010063,2417,2019
ZH,0064,Nürensdorf,01,010064,5602,2019
ZH,0065,Oberembrach,01,010065,1121,2019
ZH,0066,Opfikon,01,010066,21014,2019
ZH,0067,Rafz,01,010067,4661,2019
ZH,0068,Rorbas,01,010068,2885,2019
ZH,0069,Wallisellen,01,010069,16841,2019
ZH,0070,Wasterkingen,01,010070,563,2019
ZH,0071,Wil (ZH),01,010071,1474,2019
ZH,0072,Winkel,01,010072,4535,2019
ZH,0081,Bachs,01,010081,592,2019
ZH,0082,Boppelsen,01,010082,1432,2019
ZH,0083,Buchs (ZH),01,010083,6565,2019
ZH,0084,Dällikon,01,010084,4177,2019
ZH,0085,Dänikon,01,010085,1861,2019
ZH,0086,Dielsdorf,01,010086,5966,2019
ZH,0087,Hüttikon,01,010087,952,2019
ZH,0088,Neerach,01,010088,3175,2019
ZH,0089,Niederglatt,01,010089,4993,2019
ZH,0090,Niederhasli,01,010090,9345,2019
ZH,0091,Niederweningen,01,010091,3073,2019
ZH,0092,Oberglatt,01,010092,7228,2019
ZH,0093,Oberweningen,01,010093,1790,2019
ZH,0094,Otelfingen,01,010094,2982,2019
ZH,0095,Regensberg,01,010095,469,2019
